類別,項目,欄位名稱,資料型態,範例,是否必要,真理來源,備註
設備主檔,設備編碼,EQUIPMENT_CODE,文字(20),TN-A1-PMP-0023,必要,新系統,唯一識別
設備主檔,廠別代碼,SITE_CODE,文字(2),TN,必要,HR/組織,
設備主檔,產線代碼,LINE_CODE,文字(2),A1,必要,廠務,
設備主檔,設備類別,EQUIPMENT_TYPE,文字(3),PMP,必要,工程,泵浦/馬達/閥...
設備主檔,流水號,SEQUENCE,數字(4),0023,必要,新系統,跨廠不重複
設備主檔,設備名稱,EQUIPMENT_NAME,文字(100),離心泵浦 30HP,必要,廠務,
設備主檔,機型,MODEL_NUMBER,文字(50),CP-300A,必要,廠務,
設備主檔,製造商,MANUFACTURER,文字(100),東元電機,必要,廠務,
設備主檔,序號,SERIAL_NUMBER,文字(50),SN20231201,必要,廠務,
設備主檔,啟用日期,ACTIVATION_DATE,日期,2023-06-15,必要,廠務,
設備主檔,保固到期日,WARRANTY_EXPIRY,日期,2026-06-15,必要,廠務,
設備主檔,供應商ID,SUPPLIER_ID,文字(20),SUP00123,必要,ERP,
設備主檔,設備等級,EQUIPMENT_LEVEL,文字(1),A,必要,廠務,A/B/C 重要性
設備主檔,保養週期(天),MAINTENANCE_CYCLE,數字,90,必要,工程,
設備主檔,點檢標準,INSPECTION_STANDARD,文字(500),,必要,工程,參照SOP
設備主檔,SOP編號,SOP_REFERENCE,文字(50),SOP-PMP-001,選填,工程,
設備主檔,技術文件路徑,TECHNICAL_DOCUMENTS,URL,/docs/pmp/CP-300A.pdf,選填,IT,
備品料號,內部料號,PART_CODE,文字(20),BRG-DEEP-00128,必要,ERP,唯一
備品料號,廠商料號,MFR_CODE,文字(50),SKF-6205-2RS,必要,採購,SKF/NSK/...
備品料號,品名,PART_DESCRIPTION,文字(200),深溝球軸承 6205,必要,採購,
備品料號,規格,SPECIFICATION,文字(500),內徑25mm/外徑52mm/厚15mm,必要,工程,
備品料號,單位,UNIT_OF_MEASURE,文字(10),PCS,必要,採購,個/公尺/公升
備品料號,適用設備,APPLICABLE_EQUIPMENT,文字(500),TN-A1-PMP-0023; TN-A1-PMP-0024,必要,工程,可多筆
備品料號,替代料,SUBSTITUTE_PARTS,文字(500),BRG-DEEP-00130,選填,工程,
備品料號,安全庫存,SAFETY_STOCK_LEVEL,數字,10,必要,倉管,
備品料號,最低庫存,MIN_STOCK_LEVEL,數字,5,必要,倉管,
備品料號,再訂購量,REORDER_QTY,數字,20,必要,採購,
備品料號,單價,UNIT_COST,數字,850,必要,ERP,新台幣
備品料號,交期天數,LEAD_TIME_DAYS,數字,14,必要,採購,
備品料號,批號,BATCH_NUMBER,文字(50),,選填,倉管,
備品料號,序號,SERIAL_NUMBER,文字(50),,選填,倉管,
備品料號,有效期限,EXPIRATION_DATE,日期,,選填,倉管,潤滑油等需要
備品料號,儲位,LOCATION_ID,文字(20),WH01-A03-05,必要,倉管,
備品料號,倉位代碼,WAREHOUSE_BIN,文字(20),A03-05,必要,WMS,
供應商,供應商代碼,SUPPLIER_CODE,文字(20),SUP00123,必要,ERP,
供應商,供應商名稱,SUPPLIER_NAME,文字(200),台灣SKF股份有限公司,必要,ERP,
供應商,聯絡人,CONTACT_PERSON,文字(50),王小明,必要,採購,
供應商,聯絡電話,CONTACT_PHONE,文字(20),02-12345678,必要,採購,
供應商,Email,CONTACT_EMAIL,文字(100),sales@skf.tw,必要,採購,
供應商,付款條件,PAYMENT_TERMS,文字(50),月結60天,必要,ERP,
供應商,平均交期,AVERAGE_LEAD_TIME,數字,14,選填,採購,
供應商,評等,RATING,文字(1),A,選填,採購,A/B/C
員工部門,員工編號,EMPLOYEE_ID,文字(20),E001234,必要,HR,
員工部門,員工姓名,EMPLOYEE_NAME,文字(50),陳大明,必要,HR,
員工部門,部門代碼,DEPARTMENT_CODE,文字(10),MAINT01,必要,HR,
員工部門,部門名稱,DEPARTMENT_NAME,文字(50),維修一課,必要,HR,
員工部門,廠別,SITE_CODE,文字(2),TN,必要,HR,
員工部門,職稱,TITLE,文字(50),維修工程師,必要,HR,
員工部門,角色,ROLE,文字(20),engineer,必要,新系統,operator/engineer/manager
員工部門,主管,SUPERVISOR_ID,文字(20),E000999,必要,HR,簽核用
員工部門,Email,EMAIL,文字(100),chen@company.com,必要,HR,
員工部門,在職狀態,STATUS,文字(10),ACTIVE,必要,HR,ACTIVE/INACTIVE
故障原因碼,一級分類,CATEGORY_LV1,文字(3),MEC,必要,工程,MEC/ELE/HYD/CTL/EXT
故障原因碼,二級分類,CATEGORY_LV2,文字(20),WEAR,必要,工程,
故障原因碼,代碼,FAILURE_CODE,文字(20),MEC-WEAR-001,必要,工程,
故障原因碼,描述,DESCRIPTION,文字(200),軸承磨耗,必要,工程,
故障原因碼,可能原因,POSSIBLE_CAUSE,文字(500),潤滑不足/超載運轉,選填,工程,
故障原因碼,建議處理,RECOMMENDED_ACTION,文字(500),更換軸承並加註潤滑,選填,工程,
